2 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 6)                    0.0000  0.0125  0.0000
 (1, 1, 2, 2, 3)                 0.1250  0.0125  0.0125
 (1, 1, 2, 5)                    0.0000  0.0250  0.0125
 (1, 1, 3, 4)                    0.0000  0.0500  0.0125
 (1, 1, 7)                       0.0000  0.0375  0.0000
 (1, 2, 2, 2, 2)                 0.1250  0.0125  0.0000
 (1, 2, 2, 4)                    0.0000  0.0875  0.0500
 (1, 2, 3, 3)                    0.0000  0.0750  0.0250
 (1, 2, 6)                       0.0000  0.0250  0.0000
 (1, 3, 5)                       0.1250  0.0625  0.0000
 (1, 4, 4)                       0.0000  0.0125  0.0125
 (1, 8)                          0.0000  0.0000  0.0250
 (2, 2, 2, 3)                    0.0000  0.0125  0.0000
 (2, 2, 5)                       0.1250  0.0250  0.0125
 (2, 3, 4)                       0.0000  0.0625  0.0375
 (2, 7)                          0.0000  0.0500  0.0375
 (3, 3, 3)                       0.0000  0.0125  0.0000
 (3, 6)                          0.1250  0.0625  0.0375
 (4, 5)                          0.1250  0.1000  0.0500
 (9,)                            0.2500  0.0375  0.0000
10 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1, 1, 1, 1, 2)     0.0000  0.0333  0.2000
 (1, 1, 1, 1, 1, 1, 1, 3)        0.0000  0.0000  0.0333
 (1, 1, 1, 1, 1, 1, 2, 2)        0.0000  0.0000  0.0667
 (1, 1, 1, 1, 1, 2, 3)           0.0000  0.0667  0.0667
 (1, 1, 1, 1, 2, 2, 2)           0.0000  0.0333  0.0667
 (1, 1, 1, 2, 2, 3)              0.0000  0.0667  0.0333
 (1, 1, 2, 2, 2, 2)              0.3333  0.0333  0.0000
 (1, 1, 2, 2, 4)                 0.0000  0.0000  0.0667
 (1, 1, 3, 5)                    0.0000  0.0333  0.0333
 (1, 1, 8)                       0.0000  0.0667  0.0000
 (1, 2, 2, 2, 3)                 0.0000  0.0667  0.0000
 (1, 2, 2, 5)                    0.0000  0.0333  0.0667
 (1, 2, 3, 4)                    0.3333  0.0667  0.0667
 (1, 2, 7)                       0.3333  0.0000  0.0000
 (1, 3, 3, 3)                    0.0000  0.0000  0.0333
 (1, 9)                          0.0000  0.0333  0.0000
 (2, 2, 3, 3)                    0.0000  0.0333  0.0000
 (2, 2, 6)                       0.0000  0.0000  0.0333
 (2, 3, 5)                       0.0000  0.1000  0.0000
 (2, 4, 4)                       0.0000  0.1000  0.0000
 (2, 8)                          0.0000  0.0333  0.0333
 (3, 3, 4)                       0.0000  0.0333  0.0333
 (3, 7)                          0.0000  0.0333  0.1000
 (4, 6)                          0.0000  0.1000  0.0000
 (5, 5)                          0.0000  0.0333  0.0667
11 input:
       Class Distribution       Original   SD      BF   
 (1, 1, 1, 1, 1, 1, 1, 1, 1, 2)  0.0000  0.1000  0.1000
 (1, 1, 1, 1, 1, 1, 1, 1, 3)     0.0000  0.0000  0.1000
 (1, 1, 1, 1, 1, 1, 1, 2, 2)     0.0000  0.0000  0.1000
 (1, 1, 1, 1, 1, 1, 2, 3)        0.0000  0.0000  0.1000
 (1, 1, 1, 1, 2, 2, 3)           0.0000  0.0000  0.2000
 (1, 1, 1, 2, 2, 2, 2)           0.0000  0.0000  0.1000
 (1, 1, 1, 2, 3, 3)              0.0000  0.1000  0.0000
 (1, 1, 2, 2, 5)                 0.0000  0.1000  0.0000
 (1, 2, 3, 5)                    0.0000  0.1000  0.1000
 (1, 2, 4, 4)                    0.0000  0.1000  0.0000
 (3, 4, 4)                       0.0000  0.1000  0.1000
 (3, 8)                          0.0000  0.1000  0.0000
 (5, 6)                          0.0000  0.2000  0.1000
 (11,)                           1.0000  0.1000  0.0000
